10004: Width
9231: Height
7122: Caption
5836: SSSSS
5531: TabOrder
4926: ParentFont
4862: Value
4659: Create
4420: VVVVV
4045: DEFAULT_CHARSET
3603: Index
3256: Tahoma
3250: Sender
2800: AutoSize
2690: PPPPP
2666: Color
2600: clBlack
2544: WWWWW
2513: ANSI_CHARSET
2154: SVWUQ
1856: TObject
1830: PQSVW
1792: Destroy
1661: Arial
1596: TLabel
1580: clWindowText
1548: OnClick
1547: Visible
1527: clNavy
1498: Collection
1439: Integer
1353: clWhite
1297: Verdana
1261: Alignment
1254: BitcoinGUI
1095: TStringField
1094: taCenter
1040: TciLabel
1009: MaxLength
977: TEdit
974: AComparer
962: fsBold
955: Enabled
934: Count
901: ParentColor
898: __bbStrConst
880: Action
869: ReadOnly
851: QQSVW
849: Boolean
822: CharCase
818: 3333333
805: DSVW3
804: TButton
797: TransactionView
787: Style
781: Right
773: ecUpperCase
770: ShowHint
769: System
766: TransactionDesc
756: MoveNext
754: GetEnumerator
753: ParentShowHint
751: WordWrap
742: FieldName
736: CoinControlDialog
734: SendCoinsDialog
724: OptionsDialog
724: Direction
721: IDATx
720: Detail
718: State
714: Current
712: GetElementDetails
677: ToArray
671: Redmond1
669: Washington1
668: Source
667: AOwner
664: SignVerifyMessageDialog
658: Buffer
656: Error
654: AskPassphraseDialog
649: AObject
640: clBtnFace
638: AddRange
636: Expanded
634: InsertRange
627: ConvertInfo
624: GetProcAddress
617: Position
612: Default
605: CloseHandle
605: BorderStyle
603: Origin
602: Compare
598: Label1
597: Clear
594: wwwww
591: GetLastError
565: Verdana0
564: TransactionTableModel
559: WriteFile
558: OnChange
549: ExplicitWidth
543: ExplicitHeight
540: Sleep
537: Items
533: BinarySearch
528: ExitProcess
526: Insert
526: ASubclass
524: Form1
523: abcdefghijklmnopqrstuvwxyz
518: RPCConsole
510: MultiByteToWideChar
509: Align
508: RegCloseKey
505: 0SSSSS
503: Anchors
502: TabStop
501: FIndex
500: DataField
493: fsItalic
489: ciLabel2
489: WideCharToMultiByte
487: Canvas
485: ABCDEFGHIJKLMNOPQRSTUVWXYZ
484: ftCustom
484: GetCurrentProcess
483: FooterType
483: Controls
481: Delete
478: PPPPPPPP
478: FreeLibrary
475: taLeftJustify
469: ciLabel1
469: ReadFile
463: wwwwww
463: PopupMenu
463: DefaultValue
461: __bbStrConcat
458: ExplicitLeft
452: clInfoBk
452: Stream
452: SetFilePointer
446: DragMode
445: NumberFormat
444: Remove
439: GetStdHandle
439: ExplicitTop
438: 333333
436: VirtualAlloc
428: Cancel
424: MessageBoxA
421: PQSUVW
419: GetModuleHandleW
418: GetModuleHandleA
417: GetCurrentThreadId
416: VirtualFree
408: LoadLibraryA
406: GetTickCount
406: 0WWWWW
405: string
405: WaitForSingleObject
404: TNewStaticText
400: Graphics
399: GetItem
397: dtaPMData
394: FindClose
390: TxtChecked
389: __bbStrLoad
389: Classes
388: SetLastError
387: default
384: Transparent
383: LeaveCriticalSection
383: GetACP
383: EnterCriticalSection
382: SetItem
380: DeleteCriticalSection
378: GetSystemMetrics
376: OnExit
375: Instance
373: UnhandledExceptionFilter
371: RtlUnwind
371: GetCommandLineA
367: IndexOf
367: AddressBookPage
366: PixelsPerInch
366: ParentBackground
366: FItems
364: QueryPerformanceCounter
363: taRightJustify
362: BBDOOR
359: TerminateProcess
357: TciEdit
356: GetActiveWindow
355: TlsGetValue
354: TlsSetValue
354: RaiseException
353: OnDblClick
350: ciLabel3
350: GetLastActivePopup
348: CreateFileA
346: TMenuItem
346: ShowAccelChar
346: GetModuleFileNameW
345: Forms
344: GetCurrentProcessId
343: SetEndOfFile
343: LocalFree
341: GetFileType
341: GetCPInfo
340: OnMouseDown
339: GetModuleFileNameA
338: Assign
337: IsEmpty
337: Handle
337: GlobalAlloc
336: GIF89a
336: FList
334: CreateFileW
331: _VVVVV
331: Values
330: HeapFree
329: OnDragOver
329: HeapAlloc
327: DestroyWindow
324: Layout
323: StdCtrls
323: SetUnhandledExceptionFilter
323: 33333
322: OnEnter
321: GlobalFree
321: GetFileSize
319: DragCursor
318: ShowWindow
318: GetSystemTimeAsFileTime
316: TextHeight
316: CreateThread
314: Index2
314: Index1
312: _aobjectforprizes
312: TrimExcess
312: SVWUj
311: GetCommandLineW
311: FComparer
310: RegQueryValueExW
310: Control
309: Capacity
308: ModalResult
308: InitializeCriticalSection
308: GetExitCodeProcess
307: OnMouseMove
307: Exchange
306: OnKeyPress
306: Constraints
305: __bbUndimArray
305: __bbDimArray
301: ImageIndex
301: FlushFileBuffers
300: NewIndex
299: SetStdHandle
299: Message
298: RegOpenKeyExW
298: OnStartDrag
298: HeapReAlloc
298: First
297: CurIndex
297: ClientWidth
294: MessageBoxW
293: TranslateMessage
293: GetStringTypeW
293: GetOEMCP
291: ciLabel4
290: LCMapStringW
290: GetEnvironmentStringsW
