750: SVWUQ
682: TObject
627: Integer
613: Sender
537: GetProcAddress
516: GetModuleHandleA
504: RSjJM
503: LoadLibraryA
492: RegQueryValueExA
483: ExitProcess
473: RegCloseKey
472: CloseHandle
457: WriteFile
455: CreateFileA
454: GetModuleFileNameA
453: Sleep
447: ReadFile
446: RegOpenKeyExA
444: GetLastError
440: SetFilePointer
429: MultiByteToWideChar
425: RegSetValueExA
420: FreeLibrary
419: GetCommandLineA
416: GetSystemMetrics
412: GetFileSize
411: FindClose
411: CreateWindowExA
410: FindFirstFileA
409: DeleteFileA
407: DestroyWindow
403: CharNextA
401: lstrlenA
401: DispatchMessageA
397: RegCreateKeyExA
395: wsprintfA
395: VerQueryValueA
394: GetFileAttributesA
394: Forms
391: SendMessageA
391: GetFullPathNameA
390: PeekMessageA
390: GetTickCount
390: GetDC
389: SetWindowLongA
389: CreateProcessA
388: WaitForSingleObject
387: lstrcpynA
387: LoadCursorA
387: DefWindowProcA
386: SetForegroundWindow
385: EnableWindow
385: CallWindowProcA
384: SetWindowPos
384: RegDeleteValueA
384: GetWindowsDirectoryA
383: WritePrivateProfileStringA
383: ShowWindow
383: SetTimer
383: PostQuitMessage
383: IsWindowEnabled
383: GetCurrentProcess
382: SetErrorMode
382: IsWindowVisible
382: GetWindowRect
382: GetClientRect
382: DeleteObject
381: GetWindowLongA
381: Controls
380: GetSysColor
380: CreateThread
379: LoadBitmapA
379: IsWindow
379: GetTempPathA
378: ShellExecuteA
378: SetTextColor
378: SelectObject
378: RegisterClassA
378: GetVersion
378: CreateDirectoryA
377: SetCursor
377: SetBkColor
377: GetDeviceCaps
377: EnableMenuItem
377: DrawTextA
376: SystemParametersInfoA
376: LoadLibraryExA
376: GetClassInfoA
375: GetDiskFreeSpaceExA
375: GetDiskFreeSpaceA
375: CoCreateInstance
374: RegDeleteKeyA
373: SetFileAttributesA
373: MulDiv
373: ImageList_Create
372: ImageList_Destroy
372: GlobalAlloc
371: ScreenToClient
371: GetSystemMenu
371: GetFileVersionInfoSizeA
371: GetFileVersionInfoA
371: FindNextFileA
370: SHGetSpecialFolderLocation
369: SetWindowTextA
369: SetBkMode
369: InvalidateRect
369: GlobalLock
369: FillRect
369: EndPaint
369: CreatePopupMenu
369: BeginPaint
368: TrackPopupMenu
368: SetClassLongA
368: GlobalUnlock
368: GlobalFree
368: GetShortPathNameA
368: CreateFontIndirectA
368: CreateBrushIndirect
368: CopyFileA
368: CoTaskMemFree
367: lstrcatA
367: GetMessagePos
365: OpenProcessToken
365: GetSystemDirectoryA
364: SHGetPathFromIDListA
364: Boolean
362: lstrcmpiA
362: GetExitCodeProcess
362: GetDlgItem
361: RichEdit
361: MoveFileExA
361: MoveFileA
361: AdjustTokenPrivileges
360: LookupPrivilegeValueA
359: GetPrivateProfileStringA
358: SUVWj
357: KERNEL32
357: ExitWindowsEx
357: EndDialog
357: CharPrevA
356: lstrcmpA
356: SeShutdownPrivilege
356: RemoveDirectoryA
356: GetUserDefaultUILanguage
356: FindWindowExA
