40: QQSVW
30: SSSSS
30: PPPPP
27: SUVWj
20: abcdefghijklmnopqrstuvwxyz
20: YYjgXf9
20: X9F4u
20: Wj0XP
20: HHtXHHt
20: ABCDEFGHIJKLMNOPQRSTUVWXYZ
18: QSUVWj
18: 4SUVW3
11: Barcelona1
10: xpxxxx
10: xppwpp
10: wrong_protocol_type
10: uJSSR
10: too_many_files_open
10: timed_out
10: tRHtC
10: system
10: protocol_not_supported
10: permission_denied
10: operator
10: operation_would_block
10: operation_not_supported
10: operation_in_progress
10: not_connected
10: not_a_socket
10: no_protocol_option
10: no_buffer_space
10: network_unreachable
10: network_reset
10: network_down
10: message_size
10: log10
10: ldexp
10: l6qnk
10: iostream
10: invalid_argument
10: interrupted
10: host_unreachable
10: generic
10: frexp
10: floor
10: filename_too_long
10: destination_address_required
10: delete
10: connection_reset
10: connection_refused
10: connection_already_in_progress
10: connection_aborted
10: bad_file_descriptor
10: bad_address
10: atan2
10: already_connected
10: address_not_available
10: address_in_use
10: address_family_not_supported
10: _nextafter
10: _logb
10: _hypot
10: _cabs
10: __vectorcall
10: __unaligned
10: __thiscall
10: __stdcall
10: __restrict
10: __ptr64
10: __pascal
10: __fastcall
10: __eabi
10: __clrcall
10: __cdecl
10: Z0X03
10: WriteFile
10: WriteConsoleW
10: Wj0XPV
10: WideCharToMultiByte
10: Wednesday
10: WaitForThreadpoolTimerCallbacks
10: WWWWW
10: VVVVV
10: UnhandledExceptionFilter
10: UNICODE
10: Tuesday
10: TlsSetValue
10: TlsGetValue
10: TlsFree
10: TlsAlloc
10: Thursday
10: Thawte1
10: TerminateProcess
10: Sunday
10: Sleep
10: SetUnhandledExceptionFilter
10: SetThreadpoolWait
10: SetThreadpoolTimer
10: SetThreadStackGuarantee
10: SetStdHandle
10: SetLastError
10: SetFilePointerEx
10: SetFileInformationByHandleW
10: SetEndOfFile
10: SetDefaultDllDirectories
10: September
10: Saturday
10: SVWUj
10: SVWPP
10: RtlUnwind
10: ReadFile
10: ReadConsoleW
10: RaiseException
10: R1h58
10: QueryPerformanceCounter
10: Qkkbal
10: QVWSj
10: QQSVWd
10: PjdSQ
10: PWWWWV
10: PSSSSV
10: OutputDebugStringW
10: October
10: November
10: MultiByteToWideChar
10: Monday
10: MessageBoxW
10: March
10: LoadLibraryW
10: LoadLibraryExW
10: LeaveCriticalSection
10: LCMapStringW
10: LCMapStringEx
10: January
10: IsValidLocaleName
10: IsValidCodePage
10: IsProcessorFeaturePresent
10: IsDebuggerPresent
10: InitializeCriticalSectionEx
10: InitializeCriticalSectionAndSpinCount
10: HeapSize
10: HeapReAlloc
10: HeapFree
10: HeapAlloc
10: GetUserObjectInformationW
10: GetUserDefaultLocaleName
10: GetTimeFormatEx
10: GetTickCount64
10: GetSystemTimeAsFileTime
10: GetStringTypeW
10: GetStdHandle
10: GetStartupInfoW
10: GetProcessWindowStation
10: GetProcessHeap
10: GetProcAddress
10: GetOEMCP
10: GetModuleHandleW
10: GetModuleHandleExW
10: GetModuleFileNameW
10: GetModuleFileNameA
10: GetLogicalProcessorInformation
10: GetLocaleInfoEx
10: GetLastError
10: GetLastActivePopup
10: GetFileType
10: GetFileInformationByHandleExW
10: GetEnvironmentStringsW
10: GetDateFormatEx
10: GetCurrentThreadId
10: GetCurrentProcessorNumber
10: GetCurrentProcessId
10: GetCurrentProcess
10: GetCurrentPackageId
10: GetConsoleMode
10: GetConsoleCP
10: GetCommandLineA
10: GetCPInfo
10: GetActiveWindow
10: GetACP
10: Friday
10: FreeLibraryWhenCallbackReturns
10: FreeEnvironmentStringsW
10: FlushProcessWriteBuffers
10: FlushFileBuffers
10: FlsSetValue
10: FlsGetValue
10: FlsFree
10: FlsAlloc
10: February
10: FVWPP
10: ExitProcess
10: EnumSystemLocalesEx
10: EnterCriticalSection
10: EncodePointer
10: Durbanville1
10: DeleteCriticalSection
10: DecodePointer
10: December
10: CreateThreadpoolWait
10: CreateThreadpoolTimer
10: CreateSymbolicLinkW
10: CreateSemaphoreExW
10: CreateFileW
10: CreateFile2
10: CreateEventExW
10: CorExitProcess
10: CompareStringEx
10: CloseThreadpoolWait
10: CloseThreadpoolTimer
10: CloseHandle
10: August
10: AreFileApisANSI
10: April
10: 80604
10: 700WP
10: 700PP
10: 5ntel
10: 5Genu
10: 50301
10: 201229235959Z0b1
10: 1wsHp
10: 1A26b
10: 121221000000Z
10: 121018000000Z
9: f9LtPu
9: f9LTPu
9: dSUVW
9: UVWSh
9: SVWhs
9: SUVW3
9: QVPUSQh
9: QSUVW
9: PPPPUSPh
9: 9nlvw
9: 7T8l8z8
9: 545A5M5S5v5
9: 4L4x4
9: 202K2
9: 1f3p3
9: 1O2X2
9: 1I1v1
9: 010P0
8: 9V9h9
8: 878D8I8W8
8: 787z7
8: 5j6q6
8: 5B6H6L6P6T6
8: 4f5r5
8: 243C3
8: 1m2r2x2
8: 1Z1t1
8: 0j0u0
8: 0W0a0
7: URPQQh
6: uChIMA
6: cFNER
6: XTTig
6: SUVWh
6: M0W0d0
6: JbmiA
6: E0C0A
6: 7G7h7v7
6: 757e7
6: 737n7
6: 70503
6: 4d4y4
6: 3M4g4t4
6: 2C3L3t3
6: 283l3
6: 20402
6: 191T1
6: 190413100000Z0Q1
6: 132F2
6: 110413100000Z
6: 0g0Q1
5: znPp4
5: zF0m5
5: yWxEq
5: xOwTo
5: xDM_DQ
5: wziZR
5: wTyXHO
5: wOQYz
5: vINHl
5: vBRbk
5: vB5D1
5: utKum
5: u_sQg
5: tsMrk
5: sOHYl
5: rGBTJ
5: r8bKn
5: qNFEA
5: pvgGR
5: pnbPu
