25178: YYu
14250: SVW3
13916: upVW
10888: SVWj
8635: PVht
8023: SPSS
7060: SUVW
6053: PVWh
5935: GetLastError
5810: GetModuleHandleA
5744: exit
5713: NB10
5708: LocalFree
5695: LocalAlloc
5664: wcslen
5652: wcscpy
5652: FormatMessageW
5618: GetProcAddress
5549: _exit
5466: SWVh
5219: __set_app_type
5216: _cexit
5216: __p__fmode
5201: _initterm
5201: _adjust_fdiv
5201: __setusermatherr
5201: __p__commode
5201: _XcptFilter
5186: _except_handler3
5186: _controlfp
5183: _c_exit
5046: _wcsicmp
5033: PSVWh
5005: wcschr
4985: FreeLibrary
4970: RegCloseKey
4947: WideCharToMultiByte
4934: WriteFile
4920: wcscmp
4893: LoadLibraryW
4892: RegQueryValueExW
4885: RegOpenKeyExW
4864: E4SP
4845: wcscat
4724: WWWW
4583: 8MZu
4290: GetStdHandle
4271: _iob
4257: WriteConsoleW
4241: swprintf
4165: YYj
4161: GetCommandLineW
4144: wcsrchr
4134: wcsncpy
4016: malloc
4011: YYf3
4007: wcsncmp
4006: SVSS
4006: F0Wf
3966: PSSS
3956: PVVV
3877: SVWh
3858: LoadLibraryA
3829: calloc
3784: QQVW
3757: free
3699: __getmainargs
3659: __initenv
3630: JYY3
3620: JYYV
3610: JYYW
3534: GetFileType
3530: QQSVW
3527: GetCPInfo
3525: GetConsoleOutputCP
3520: _wcsupr
3520: ReadConsoleW
3514: memmove
3488: SetThreadLocale
3401: SetLastError
3399: DDDDDDDDDDDDDDDDDDDDDDDDD
3371: _vsnwprintf
3147: GetThreadLocale
3143: GetTimeFormatW
3114: CloseHandle
3036: PPQP
3036: PPPPPPPh
3026: ffff
3007: VVVh
2996: MultiByteToWideChar
2984: EhPj
2969: RegSetValueExW
2956: setlocale
2928: Wednesday
2928: Tuesday
2928: Thursday
2928: Sunday
2928: September
2928: Saturday
2928: October
2928: November
2928: Monday
2928: March
2928: June
2928: July
2928: January
2928: Friday
2928: February
2928: December
2928: August
2928: April
2915: wcstok
2915: NetApiBufferFree
2915: I_NetNameValidate
2915: HELP
2886: GetSystemDefaultLangID
